Combined Text,biffi,crosby,anderson_greenwood,fisher,asco,keystone,rosemount,micro_motion,pneumatic_actuator,electric_actuator,globe_valve,garlock_kit,transmitter,tyco_valve,gas chromatograph,daniel,fisher_actuator,dvc_positioner,valve_relief,ph_sensor_rosemount,temperature_detector,mr95h,groveley_detection,rosemount_0096,trex_field_communicator_375,generic_fisher,3025_actuator_spare,rosemount_manifold,fisher_spare_25032500,Prediction
"set:lead,field communicator 475,w/ conne set: lead,field communicator 475,w/ connector set:lead,475 field communicator,w/ connectors emerson 00375-0004-0001",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,talib
"adptr,comms:irda to usb adapter,communications: irda to usb adapter,communications:irda to usb port,375 communicator emerson 00375-0015-0002",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,talib
"reader,card:sys reader,card: system reader:system card,w/ usb interface emerson 00375-0018-0022",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,talib
"head,inst:m20 x 1/2in anpt,ss,rosemount head,instrument: m20 x 1/2in anpt,stainless steel,rosemount,w/ standard cover transmitter,temperature:rtd,1/2in npt,connection:m20 x 1.5,connection head,ss,std cover emerson 00644-4411-0021",False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,talib
"kit:spare,temperature transmitter 644 fo kit: spare,temperature transmitter 644 foundation fieldbus,meter cover,lcd display kit:lcd display spares,f/ model 644 foundation fieldbus temp transmitter,w/ meter cover emerson 00644-4430-0001",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,talib
"detector,resist temp:pt100,65 series,sin detector,resistance temperature: pt100,65 series,single element,4 wire,100 ohm,-50 to 450deg c,platinum element,200mm lg,316/321 sta                                                  inless steel,teflon insulated lead,iec 751,din en 10204 3.1,raised face flange moun t , f l y i n g  l e a d , 5 0 m m  l g , r o s e m o u n t , a l u m i n u m  w /  l c d  m eter cover connection head,assemble sen so r to  s pe ci fi c t em pe ra tu re  t ra ns mi t te r, ca bl e en tr y de ta il : m2 0 x 1. 5m m ca bl e/ c on du i t, en clo s u r e rat ing : i p66 /68 ,i ns ert ion  le ngt h: 200 mm, 1-1 /2i n cla ss 150 detector,resistance temperature:standard,sgl element,-50 to 450deg c,100ohm,4 wire,platinum element,50mm lg,namur,316ss/321ss sheath                                                  ,teflon insulated lead,din,alum w/ lcd meter cover connection head,ip68,m20 x 1.5c a b l e / c o n d u i t  e n t r y , f l y i n g  l e a d , w /  t u b u l a r  1 . 4 5 7 1  aisi 316ti thermowell,200mm immersionl g, fl an ge  r f mo un ti ng ,1 -1 / 2i n 15 0l b co nn ec ti on ,a ss e mb le  s en so r to  sp ec if ic  t em pe r at ur e tr an s m i  tt er, the rmo we ll mat eri al cer tif ic ati on emerson 0065101z0050y0200l08q8",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,talib
"detector,resist temp:65,1,4 wire,100 ohm detector,resistance temperature: 65,1,4 wire,100 ohm,-50 to 450 deg c,platinum element,405mm lg,stainless steel tube,stainless steel                                                  ,atex,flying lead,80mm lg,rosemount,aluminum w/ lcd meter cover,certification refer e n c e :  i b e x u / i n t r i n s i c  s a f e t y  a n d  d u s t , 1 / 2 i n  a n p t c onnection threaded detector,resistance temperature:sgl,-50 to 450deg c,100ohm,4 wire,platinum element,80mm lg,ss tube,atex/ibexu instrinsic safety,ss,r                                                  osemount alum w/ lcd meter cover,1/2in anpt connection thd,405mm sensor lg emerson 0065201d0080n0405i1",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,talib
"detector,resist temp:1000 mohm,-50 to 45 detector,resistance temperature: 1000 mohm,-50 to 450 deg c,stainless steel/teflon element,520mm lg,copper detector,resistance temperature:-50 to 450deg c,1000 mohm,cu wire,ss/teflon element,520mm lg emerson 0065-25186183",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,talib
"detector,resist temp:65,1,4 wire,100 ohm detector,resistance temperature: 65,1,4 wire,100 ohm,-50 to 450 deg c,platinum element,405mm lg,stainless steel tube,atex,flying lea                                                  ds,80mm lg,rosemount,certification reference: intrinsic safety detector,resistance temperature:sgl,-50 to 450deg c,100ohm,4 wire,platinum element,80mm lg,ss tube,atex/ibexu instrinsic safety,405m                                                  m sensor lg emerson 0065301d0080n0405i1",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,talib
"thrmowl:barstock,1-1/2in,225mm insertion thermowell: barstock,1-1/2in,225mm insertion lg,1/2in npt,stainless steel,rosemount,class rating: class 600,dual element,flange face                                                  : raised face,grade: 316l,lagging length: 80mm,nace standard: nace mr0175,shank sty l e :  t a p e r e d , w a k e  f r e q u e n c y , w /  m a t e r i a l  c e r t i f i c a t ion/external pressure testing and full  p en et r at io n we ld thermowell:flg,225mm insertion lg,aisi 316l ss,1-1/2in,600lb,rf,1/2in anpt,tapered,flg,80mm lapping lg,w/ material certification,ext                                                  ernal pressure testing,nace approval & full penetration weld std emerson 0096d0225f46t080dq8r01r05r07r21",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,talib
"thrmowl:barstock,1-1/2in,245mm insertion thermowell: barstock,1-1/2in,245mm insertion lg,1/2in npt,stainless steel,rosemount,grade: 316l thermowell:aisi 316l ss emerson 0096d0245f64t080dq8r01r03r05",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,talib
"thrmowl:barstock,1-1/2in,275mm insertion thermowell: barstock,1-1/2in,275mm insertion lg,1/2in npt,stainless steel,rosemount,class rating: class 900/1500,dye penetration tes                                                  ting,grade: 316l,lagging length: 80mm,w/ material certification/external pressuret e s t i n g thermowell:275mm insertion lg,aisi 316l ss,barstock,w/ 1-1/2in 900-1500lbs flg,80mm lagging lg,1/2in anpt connection thd,w/ thermowe                                                  ll material certification,w/ thermowell external pressure testing,dye penetrationt e s t i n g emerson 0096d0275f64t080dq8r01r03r05",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,talib
"thrmowl:barstock,1-1/2in,300mm insertion thermowell: barstock,1-1/2in,300mm insertion lg,1/2in npt,stainless steel,rosemount,class rating: class 150,flange face: raised face                                                  ,grade: 316l,lagging length: 80mm,nace standard: nace mr0175,shank style: tapered,w /  m a t e r i a l  c e r t i f i c a t i o n / e x t e r n a l  p r e s s u r e  t e s t i n g and full penetration weld thermowell:flg,300mm insertion lg,aisi 316l ss,1-1/2in,150lb,rf,1/2in anpt,tapered,flg,80mm lapping lg,w/ material certification,ext                                                  ernal pressure testing,nace approval & full penetration weld std emerson 0096d0300f10t080dq8r01r05r07r21",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,talib
"thrmowl:barstock,1-1/2in,300mm insertion thermowell: barstock,1-1/2in,300mm insertion lg,1/2in npt,stainless steel,rosemount,class rating: class 2500,flange face: raised fac                                                  e,flange face: ring joint,grade: 316l,lagging length: 80mm,nace standard: nace mr01 7 5 , s h a n k  s t y l e :  t a p e r e d , w a k e  f r e q u e n c y , w /  m a t e r i a l certification/external pressure test in g an d fu ll  p en e tr at io n we ld thermowell:flg,300mm insertion lg,aisi 316l ss,1-1/2in,2500lb,rf,1/2in anpt,tapered,flg,80mm lapping lg,w/ material certification,ex                                                  ternal pressure testing,nace approval and full penetration weld std,ring joint flg f a c e , w a k e  f r e q u e n c y , m p n : 0 0 9 6 d 0 3 0 0 f 8 2 t 0 8 0 d q 8 r 0 1 r 0 3 r05r06r07r12r16r21 emerson 0096d0300f82t080dq8r01r03r05r06r07r12r16",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,talib
"thrmowl:barstock,2in,450mm insertion lg thermowell: barstock,2in,450mm insertion lg,1/2in npt,stainless steel,rosemount,class rating: class 150,dual element,flange face: ra                                                  ised face,grade: 316l,lagging length: 80mm,nace standard: nace mr0175,shank style: t a p e r e d , w /  m a t e r i a l  c e r t i f i c a t i o n / e x t e r n a l  p r e s s u re testing and full penetration weld thermowell:flg,450mm insertion lg,aisi 316l ss,2in,150lb,rf,1/2in anpt,tapered,flg,80mm lapping lg,w/ material certification,externa                                                  l pressure testing,nace approval & full penetration weld std emerson 0096d0450f16t080dq8r01r05r07",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,talib
"thrmowl:barstock,1-1/2in,450mm insertion thermowell: barstock,1-1/2in,450mm insertion lg,1/2in npt,stainless steel,rosemount,class rating: class 900/1500,flange face: raised                                                   face,grade: 316l/1.4404,lagging length: 80mm,shank style: tapered thermowell:bar stock,450mm insertion lg,1.4404 aisi 316l ss,class 900/1500,rf,1/2in anpt,tapered,80mm lagging lg emerson 0096d0450f64t080d",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,talib
"detector,resist temp:65,1,4 wire,100 ohm detector,resistance temperature: 65,1,4 wire,100 ohm,-50 to 450 deg c,platinum element,150mm lg,terminal block,35mm lg,rosemount detector,resistance temperature:-50 to 450deg c,pt100 element,60mm lg emerson 0065c21c0035n0150",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,talib
"gauge,pres:dual scale,0 to 30 psig,0 to gauge,pressure: dual scale,0 to 30 psig,0 to 2 kg/cm2,stainless steel case gauge,pressure:dual scale,0-30 psig,ss case emerson 11b8583x032",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,erkin
"pin:grooved,7/16in dia,3in lg,ss,asme sa pin: grooved,7/16in dia,3in lg,stainless steel,asme sa479/uns s31600,gr 316,fisher,hardness: 22 hrc pin:grooved,10mm dia,316 ss,f/ 10 & 12in type 24 v150 vee ball control valve emerson 11b8596x012",False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,erkin
"pin,dowel:grooved,monel,gr uns n04400,ty pin,dowel:monel 400 uns n04400,grooved,type 24 pin,dowel:monel 400 uns n04400,grooved,type 24 emerson 11b8596x042",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,erkin
"gauge,pres:triple scale,2in dial,0 to 4. gauge,pressure: triple scale,2in dial,0 to 4.1 barg,0 to 60 psig,0 to 0.4 mpa,1/4in npt,stainless steel internals,back mount,stainle                                                  ss steel case,fisher gauge,pressure:0-4barg,2in dial,1/4in npt,back,ss/ss/wet parts internals,ammonia service emerson 11b9639x022",False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,erkin
"gauge,pres:triple scale,2in dial,0 to 11 gauge,pressure: triple scale,2in dial,0 to 11 barg,0 to 160 psig,0 to 1.1 mpa,1/2in npt,stainless steel internals,center back mount,                                                  stainless steel case,fisher gauge,pressure:regulator,0-11barg,2in dia dial,1/2in npt,center back mount,ss internals,wetted parts emerson 11b9639x032",False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,erkin
"ring,bk-up:uns s31803 ring,back-up: uns s31803 ring,back-up:uns s31803 emerson 11b9659x022",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,erkin
"ring,scraper:wiper,30mm,40mm,7.5mm thk,n ring,scraper: wiper,30mm,40mm,7.5mm thk,nitrile,steel ring,wiper:valve,30 id x 40 od x 7.5mm thk,buna-n/stl emerson 1234722",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,erkin
"pkng:rng,12mm,23mm,5mm thk,ptfe,graphite packing: ring,12mm,23mm,5mm thk,ptfe,graphite packing:ring,teflon/graphite,12 id x 23mm od,5mm thk emerson 1278231",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,gulu
"pkng:rng,17mm,26mm,5mm thk,ptfe,graphite packing: ring,17mm,26mm,5mm thk,ptfe,graphite packing:ring,teflon/graphite,17 id x 26mm od,5mm thk emerson 1278258",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,gulu
"seat,vlv:alloy 6,fisher seat,valve: alloy 6,fisher ring,seat:alloy 6 emerson 12a8640x042",False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,erkin
"packing set:rng,v,teflon/carbon filled,f packing set: ring,v,teflon/carbon filled,control valve packing set:ring,v,teflon/carbon filled,control valve fisher controls 12a883-2x022",False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,erkin
packing set:flow control valve packing set: flow control valve packing set:flow control valve emerson 12a8951x022,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,erkin
"pkng:ring set,vee,3/4in id,1in od,1/8in packing: ring set,vee,3/4in,1in,1/8in thk,ptfe,carbon filled ptfe,fisher packing,ring set:v-ring,teflon/carbon,3/4 id x 1 od x 1/8in thk,f/ 1052 actuator emerson 12a8995x022",False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,erkin
"packing set:vlv,1-3/4 x 2-1/4 x 18in,ptf packing set: valve,1-3/4 x 2-1/4 x 18in,ptfe packing set:valve,1-3/4 x 2-1/4 x 18in,ptfe fisher controls 12a9057x022",False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,erkin
"ring:pkng,1-3/4in,2-1/4in,ss,316a ring: packing,1-3/4in,2-1/4in,stainless steel,316a ring:packing,1-3/4in shaft x 2-1/4in,316a ss emerson 12a9058x012",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,erkin
"pkng:rng,3/4in,1-1/8in,3/16in thk,graphi packing: ring,3/4in,1-1/8in,3/16in thk,graphite,fisher packing,ring:graphite,3/4 id x 1-1/8in od,3/16in thk emerson 12a9136x012",False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,erkin
"bushing,vlv:fbrglass,fisher,size: 1-7/8 bushing,valve: fiberglass,fisher,size: 1-7/8 x 3/4 x 3/8in bushing,valve:actuator,size 30 valve,fiberglass,1-7/8 x 3/4 x 3/8in emerson 12a9373x012",False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,erkin
"o-rng:nbr,size 30 o-ring: nbr,size 30 o-ring:size 30,nbr emerson 12a9480x012",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,erkin
"bushing,vlv:mounting yoke,du lined teflo bushing,valve: mounting yoke,du lined teflon,fisher controls bushing,valve:mounting yoke,size 30 valve,du lined ptfe,size 40 & 60 actuator,f/ 3/4in dia valve shaft emerson 12a9556x012",False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,erkin
"bushing,vlv:du lined ptfe,1-3/4in dia sh bushing,valve: du lined ptfe,1-3/4in dia shaft bushing,valve:lined,1-3/4in valve,ptfe,du series emerson 12a9560x012",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,erkin
"nozzle,vlv:ss,w/ lock nut nozzle,valve: stainless steel,w/ lock nut nozzle,valve:416 ss,thd,3 to 15psi,w/ lock nut,f/ positioner/pressure gauge emerson 12a9840x012",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,erkin
"assy:plug and wire,material: aluminum assembly: plug and wire,material: aluminum assembly:plug and wire,alum,pressure regulator emerson 12b0468x012",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,erkin
"gskt:seat ring,graphite,stainless steel gasket: seat ring,graphite,stainless steel uns s31600,fisher gasket:valve,graphite/ss emerson 10a3266x082",False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,erkin
"gskt:seat ring,316 stainless steel,graph gasket: seat ring,316 stainless steel,graphite,fisher,lower gasket:lower seat ring,316 ss/graphite,f/ 1/2 to 1-1/2in valve emerson 10a3327x052",False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,erkin
"o-rng:epr,ds52-10,-40 to 450 deg f,fishe o-ring: epr,ds52-10,-40 to 450 deg f,fisher o-ring:epr ds52-10,f/ type yd control valve emerson 10a3329x022",False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,erkin
"o-rng:56mm,2.5mm,fluorocarbon,fisher,siz o-ring: 56mm,2.5mm,fluorocarbon,fisher,size: 61mm od o-ring:56 id x 61mm od,fluorocarbon,2.5mm thk emerson 10a3330x012",False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,erkin
"ring,seal:cbn,tfe,17f18,fisher ring,seal: carbon,teflon,17f18,fisher ring:seal,teflon/carbon,17f18 emerson 10a3331x012",False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,erkin
"ring,bk-up:39mm id,43mm od,2mm thk,fluor ring: backup,2mm,fluorocarbon,39 id x 43mm od,fms 17g34 ring:backup,39 id x 43mm od,2mm thk,fluorocarbon,fms 17g34 emerson 10a3332x032",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,erkin
"ring,bk-up:epdm,fms 41g39,-40 to 232 deg ring,back-up: epdm,fms 41g39,-40 to 232 deg c,fisher ring,back-up:epdm,fms 41g39 emerson 10a3332x042",False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,erkin
"seat,vlv:cobalt alloy,uns r3006,fisher,b seat,valve: cobalt alloy,uns r3006,fisher,bottom,fms 21a1 ring,seat:bottom,r3006,fms 21a1 emerson 10a3335x032",False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,erkin
"gskt,ring jnt:graphite/stainless steel,f gasket,ring joint: graphite/stainless steel,fisher,material specification: uns s31600,lower gasket,joint,ring:graphite/ss,lower seat ring,2in,59 id x 77.5mm od,17f46,gr s31600,1mm thk,f/ yd & ys 3-way valves emerson 10a3385x042",False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,erkin
"ring,seal:ptfe,fisher ring,seal: polytetrafluoroethylene,fisher ring:seal,60 id x 62mm od,7mm thk,ptfe emerson 10a3388x012",False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,erkin
"thrmowl:barstock,1-1/2in,225mm insertion thermowell: barstock,1-1/2in,225mm insertion lg,1/2in npt,stainless steel,rosemount,class rating: class 600,dual element,flange face                                                  : raised face,grade: 316l,lagging length: 80mm,nace standard: nace mr0175,shank sty l e :  t a p e r e d , w a k e  f r e q u e n c y , w /  m a t e r i a l  c e r t i f i c a t ion/external pressure testing and full  p en et r at io n we ld thermowell:flg,225mm insertion lg,aisi 316l ss,1-1/2in,600lb,rf,1/2in anpt,tapered,flg,80mm lapping lg,w/ material certification,ext                                                  ernal pressure testing,nace approval & full penetration weld std emerson 0096d0225f46t080dq8r01r05r07r21",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,talib
"ring,bk-up:fkm,fms 17g34,-18 to 204 deg ring,back-up: fkm,fms 17g34,-18 to 204 deg c,fisher ring,back-up:valve,66 id x 74mm,5.5mm thk,fluorocarbon,fms 17g34,f/ 2in rtj 600 667 yd nace emerson 10a3389x032",False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,erkin
"seat,vlv:cntrl,alloy 6b,btm,31a2 seat,valve: control,alloy 6b,bottom,31a2 ring,seat:control valve,alloy 6b,bottom,31a2 emerson 10a3392x042",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,erkin
"ring,seal:178mm,182mm,9.5mm thk,cbn,tfe ring,seal: 178mm,182mm,9.5mm thk,carbon,teflon ring:seal,178 id x 182mm od,9.5mm thk,teflon/carbon emerson 10a3530x012",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,erkin
